DEPARTAMENTO,PROVINCIA,DISTRITO,PRESTADOR,RESOLUCION,TIPO_RESERVA,FECHA_CORTE,MONTO_PROYECTADO_GRD&ACC,MONTO_PROYECTADO_MERESE,VIGENCIA
LIMA,HUAURA,HUALMAY,EPS AGUAS DE LIMA NORTE S. A.,029-2019-SUNASS-CD,MERESE y GRD&ACC,20260225,1028047,1212158,0
LIMA,HUAURA,HUALMAY,EPS AGUAS DE LIMA NORTE S. A.,083-2024-SUNASS-CD,MERESE y GRD&ACC,20260225,1065278,1663069,1
CAJAMARCA,CAJAMARCA,CAJAMARCA,EPS SEDACAJ S. A.,047-2019-SUNASS-CD,MERESE y GRD&ACC,20260225,1176071,3008060,0
CAJAMARCA,CAJAMARCA,CAJAMARCA,EPS SEDACAJ S. A.,002-2014-SUNASS-CD,GRD&ACC,20260225,992260,0,0
CAJAMARCA,CAJAMARCA,CAJAMARCA,EPS SEDACAJ S. A.,081-2024-SUNASS-CD,MERESE y GRD&ACC,20260225,2275794,4549274,1
UCAYALI,CORONEL PORTILLO,CALLERIA,EMAPACOP S. A.,051-2018-SUNASS-CD,MERESE y GRD&ACC,20260225,136022,1335647,0
UCAYALI,CORONEL PORTILLO,CALLERIA,EMAPACOP S. A.,041-2024-SUNASS-CD,MERESE y GRD&ACC,20260225,1091924,596623,1
SAN MARTIN,SAN MARTIN,TARAPOTO,EMAPA SAN MART÷N S. A.,034-2019-SUNASS-CD,MERESE y GRD&ACC,20260225,1857340,1997068,0
SAN MARTIN,SAN MARTIN,TARAPOTO,EMAPA SAN MART÷N S. A.,077-2024-SUNASS-CD,MERESE y GRD&ACC,20260225,2677464,5435251,1
APURIMAC,ABANCAY,ABANCAY,EPS EMUSAP ABANCAY S. A.,015-2014-SUNASS-CD,MERESE y GRD&ACC,20231024,631668,1393384,0
APURIMAC,ABANCAY,ABANCAY,EPS EMUSAP ABANCAY S. A.,046-2019-SUNASS-CD,MERESE y GRD&ACC,20231024,2340872,1706414,0
ICA,CHINCHA,CHINCHA ALTA,SEMAPACH S. A.,054-2018-SUNASS-CD,MERESE y GRD&ACC,20260225,612791,2038132,0
ICA,CHINCHA,CHINCHA ALTA,SEMAPACH S. A.,071-2023-SUNASS-CD,MERESE y GRD&ACC,20260225,1971053,1686051,1
LORETO,MAYNAS,IQUITOS,EPS SEDALORETO S. A.,020-2016-SUNASS-CD,MERESE y GRD&ACC,20260225,2040947,624502,0
SAN MARTIN,RIOJA,RIOJA,EPS RIOJA S. A.,022-2017-SUNASS-CD,MERESE y GRD&ACC,20260225,21605,438596,0
AMAZONAS,BAGUA,BAGUA,EPS EMAPAB S. A.,053-2017-SUNASS-CD,MERESE y GRD&ACC,20260225,25011,296107,0
APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,EPS EMSAP CHANKA S. A.,039-2017-SUNASS-CD,MERESE y GRD&ACC,20260225,23079,230792,0
PUNO,PUNO,PUNO,EMSAPUNO S. A.,022-2013-SUNASS-CD,GRD&ACC,20231024,2257985,0,0
MADRE DE DIOS,TAMBOPATA,TAMBOPATA,EPS EMAPAT S. A.,054-2017-SUNASS-CD,MERESE y GRD&ACC,20260225,3562557,1170200,0
MOQUEGUA,MARISCAL NIETO,MOQUEGUA,EPS MOQUEGUA S. A.,011-2019-SUNASS-CD,MERESE y GRD&ACC,20260225,337390,691139,0
